Measurement,Average,Standard Deviation,Comparison Mode
Persona Precision,0.557,0.346,Relaxed Comparison
Persona Recall,0.557,0.346,Relaxed Comparison
Persona F-Measure,0.557,0.346,Relaxed Comparison
Entity Precision,0.404,0.116,Relaxed Comparison
Entity Recall,0.112,0.039,Relaxed Comparison
Entity F-Measure,0.175,0.058,Relaxed Comparison
Action Precision,0.896,0.077,Relaxed Comparison
Action Recall,0.378,0.057,Relaxed Comparison
Action F-Measure,0.53,0.064,Relaxed Comparison
Persona Precision,0.557,0.346,Inclusion Comparison
Persona Recall,0.557,0.346,Inclusion Comparison
Persona F-Measure,1,0.5,Inclusion Comparison
Entity Precision,0.404,0.116,Inclusion Comparison
Entity Recall,0.112,0.039,Inclusion Comparison
Entity F-Measure,0.25,0.5,Inclusion Comparison
Action Precision,0.896,0.077,Inclusion Comparison
Action Recall,0.378,0.057,Inclusion Comparison
Action F-Measure,1,0.5,Inclusion Comparison
Persona Precision,0.557,0.346,Strict Comparison
Persona Recall,0.557,0.346,Strict Comparison
Persona F-Measure,1,0.5,Strict Comparison
Entity Precision,0.404,0.116,Strict Comparison
Entity Recall,0.112,0.039,Strict Comparison
Entity F-Measure,1,0.5,Strict Comparison
Action Precision,0.896,0.077,Strict Comparison
Action Recall,0.378,0.057,Strict Comparison
Action F-Measure,1,0.5,Strict Comparison
